Index,Time,voltage,velocity
26740,53.481270,-8232,0.739593565
26741,53.483274,15650,0.742789447
26742,53.485276,15650,0.732136548
26743,53.487279,-550,0.696981668
26744,53.489322,15945,0.50203234
26745,53.491275,15945,0.50203234
26746,53.493279,16677,0.369935542
26747,53.495269,5784,0.210141003
26748,53.497271,-16367,0.055672951
26749,53.499273,17471,-0.0284855086
26750,53.501275,7445,-0.0210284274
26751,53.503295,-10781,-0.00611427194
26752,53.505274,-10898,0.0087998854
26753,53.507276,-14446,0.0396934971
26754,53.509278,-14015,0.108937792
26755,53.511269,-15179,0.15368028
26756,53.513338,-5575,0.261275262
26757,53.515271,-7651,0.457289875
26758,53.517273,10119,0.647978067
26759,53.519275,3313,0.72467941
26760,53.521277,9543,0.672479868
26761,53.523270,8626,0.56168896
26762,53.525292,15474,0.477530539
26763,53.527272,17662,0.400829136
26764,53.529274,2054,0.402959734
26765,53.531276,17232,0.41254741
26766,53.533268,-16719,0.459420472
26767,53.535270,14110,0.514815927
26768,53.537296,-11040,0.555297196
26769,53.539275,14085,0.560623705
26770,53.541277,-6227,0.618149698
26771,53.543269,-1982,0.673545182
26772,53.545272,-179,0.691655219
26773,53.547274,9303,0.70017761
26774,53.549291,14745,0.691655219
26775,53.551270,-3646,0.698046982
26776,53.553274,-10437,0.691655219
26777,53.555276,8530,0.739593565
26778,53.557278,4466,0.878082156
26779,53.559326,-7103,1.02402782
26780,53.561271,3734,1.18169188
26781,53.563275,12892,1.32657218
26782,53.565276,-3933,1.42884064
26783,53.567268,15693,1.47358322
26784,53.569270,10482,1.44695079
26785,53.571289,2623,1.39901245
26786,53.573270,9524,1.41712248
26787,53.575272,-2639,1.41712248
26788,53.577274,1186,1.43629777
26789,53.579276,-10617,1.4991504
26790,53.581277,3914,1.59928823
26791,53.583294,15486,1.71114433
26792,53.585273,9830,1.799564
26793,53.587275,7219,1.86561251
26794,53.589278,6019,1.94977093
26795,53.591268,2963,1.96788096
26796,53.593273,-16597,1.96361971
26797,53.595296,-1639,1.96575034
26798,53.597276,-1231,2.03712535
26799,53.599278,15385,2.12128377
26800,53.601268,-12523,2.19159317
26801,53.603273,-12623,2.2874701
26802,53.605293,-4934,2.39719582
26803,53.607272,8620,2.41317511
26804,53.609274,9135,2.39506483
26805,53.611293,14345,2.37056327
26806,53.613274,-4244,2.36736727
26807,53.615276,9821,2.36097574
26808,53.617290,-16669,2.31623292
26809,53.619270,2904,2.28320885
26810,53.621272,5053,2.31836367
26811,53.623276,15935,2.31729841
26812,53.625278,-6591,2.32475543
26813,53.627301,-11740,2.3119719
26814,53.629292,12703,2.30025363
26815,53.631271,-9375,2.27468657
26816,53.633275,-11966,2.20437694
26817,53.635277,-8254,2.16069961
26818,53.637268,-3893,2.18733215
26819,53.639403,-3782,2.18094039
26820,53.641269,9454,2.15750384
26821,53.643273,5214,2.14152431
26822,53.645274,346,2.13832855
26823,53.647276,-4438,2.10210848
26824,53.649277,4374,2.02327633
26825,53.651296,8309,1.91035497
26826,53.653278,15465,1.84430659
26827,53.655268,-12827,1.76334393
26828,53.657271,-11712,1.67812026
26829,53.659273,-3484,1.62592065
26830,53.661274,-8705,1.60674524
26831,53.663296,7994,1.62911654
26832,53.665275,-2606,1.65042245
26833,53.667277,2729,1.65894485
26834,53.669278,533,1.6983608
26835,53.671289,13752,1.68664265
26836,53.673271,10562,1.64722645
26837,53.675290,-15033,1.59609234
26838,53.677269,3281,1.54921925
26839,53.679271,-6010,1.4991504
26840,53.681273,16735,1.45547318
26841,53.683278,-14688,1.41286123
26842,53.685268,-14530,1.45014656
